dataset,design,energy_uJ_per_image,adc_util_percent,adc_is_saturated
cifar10dvs,Default,239.2939021356467,100.0,1
cifar10dvs,Conserv.,197.09336194906183,28.717260890723313,0
cifar10dvs,Balanced,179.38208667693104,28.72384146946279,0
cifar10dvs,Aggress.,170.52330141106276,28.72384486553517,0
dvsgesture,Default,204.17331063039828,100.0,1
dvsgesture,Conserv.,99.1141714072657,54.96172904685065,0
dvsgesture,Balanced,86.68927249678832,55.034847805099176,0
dvsgesture,Aggress.,80.46113021482962,55.035036222182086,0
