dataset,dataset_label,design,hapr_group_size,adc_macros,latency_us_per_image,energy_uJ_per_image,total_power_w,adc_macro_utilization_percent,adc_is_saturated
cifar10dvs,CIFAR10-DVS,"Default
8/16",8,16,92.1588708370665,239.2939021356467,2.596536827786329,100.0,1
cifar10dvs,CIFAR10-DVS,"Conservative
8/64",8,64,80.22951003906249,197.09336194906186,2.456619289499589,28.717260890723313,0
cifar10dvs,CIFAR10-DVS,"Balanced
16/32",16,32,80.22951003906249,179.38208667693104,2.235861674707881,28.72384146946279,0
cifar10dvs,CIFAR10-DVS,"Aggressive
32/16",32,16,80.22951003906249,170.52330141106276,2.1254436344935628,28.723844865535174,0
dvsgesture,DVS Gesture,"Default
8/16",8,16,79.27426510680543,204.17331063039828,2.5755307899142,100.0,1
dvsgesture,DVS Gesture,"Conservative
8/64",8,64,36.05884789360894,99.1141714072657,2.748678263368272,54.96172904685065,0
dvsgesture,DVS Gesture,"Balanced
16/32",16,32,36.05884789360894,86.68927249678832,2.404105443206717,55.034847805099176,0
dvsgesture,DVS Gesture,"Aggressive
32/16",32,16,36.05884789360894,80.46113021482962,2.231383832678984,55.035036222182086,0
